Hugtök: is,Val: is,Orðaflokkur: is,Kyn,Tala: is,Skilgreining: is,Skýring: is,Dæmi: is,Samheiti: is,Heimild: is,Sérsvið: is,Vísun/sjá einnig: is,Hugtak: en,Val: en,Skilgreining: en,Skýring: en,Dæmi: en,Samheiti: en,Heimild: en,Sérsvið: en,Vísun/sjá einnig: en,id
ummiðja,,na,kvk,Eintala,,,,,,,,"circumcentre, circumcenter",,,,,,,,,5778
"ummyndun, myndun, færsla",,na,kvk,Eintala,,,,,,,transformation,transform,,,,,,,,,5779
"ummyndun, umskrift, umritun, breyting",,na,kvk,Eintala,,,,,,,,transformation,,,,,,,,,5780
umreikningur,,na,kk,Eintala,,,,,,,,conversion,,,,,,,,,5781
umrita,,sag,,,,,,,,,,reduce,,,,,,,,,5782
umritaður,,ls,kk,Eintala,,,,,,,inscribed,circumscribed,,,,,,,,,5783
umritaður hringur,,na,kk,Eintala,,,,,,,,"circumcircle, circumscribed circle",,,,,,,,,5784
umrituð kúla,,na,kvk,Eintala,,,,,,,,"circumscribed sphere, circumsphere",,,,,,,,,5785
umritun,,na,kvk,Eintala,,,,,,,,reduction,,,,,,,,,5786
umritun,,na,kvk,Eintala,,,,,,,,rewriting,,,,,,,,,5787
umröðun,,na,kvk,Eintala,,,,,,,permutation,"arrangement, rearrangement, reordering",,,,,,,,,5788
umröðunarsetning Riemanns,,na,kvk,Eintala,,,,,,,,Riemann's rearrangement theorem,,,,,,,,,5789
umsagnarbreyta,,na,kvk,Eintala,,,,,,,,predicate variable,,,,,,,,,5790
umsagnareikningur,,na,kk,Eintala,,,,,,,"logic of quantifiers, predicate logic, quantification theory, quantificational logic","functional calculus, predicate calculus",,,,,,,,,5791
umsagnarökfræði,,na,kvk,Eintala,,,,,,,"functional calculus, predicate calculus","logic of quantifiers, predicate logic, quantification theory, quantificational logic",,,,,,,,,5792
umsagnartákn,,na,hk,Eintala,,,,,,,,predicate symbol,,,,,,,,,5793
umskiptanleiki,,na,kk,Eintala,,,,,,,,exchangeability,,,,,,,,,5794
"umskipting, tvírás",,na,kvk,Eintala,,,,,,,,(a permutation; 2-cycle) transposition,,,,,,,,,5795
umsögn,,na,kvk,Eintala,,,,,,,"propositional function, sentential function",predicate,,,,,,,,,5796
"umstikun, endurstikun, stikabreyting, stikaskipti",,na,kvk,Eintala,,,,,,,,"parameter change, parameter transformation, transformation of parameter",,,,,,,,,5797
"umtak, yfirgrip, umfang",,na,hk,Eintala,,,,,,,,(of a concept) extension,,,,,,,,,5798
undanfari,,na,kk,Eintala,,,,,,,,"antecedent, predecessor",,,,,,,,,5799
undantekningar-,,pref,,,,,,,,,,exceptional,,,,,,,,,5800
undinn,,ls,kk,Eintala,,,,,,,,twisted,,,,,,,,,5801
undinn þriðja stigs ferill,,na,kk,Eintala,,,,,,,,twisted cubic,,,,,,,,,5802
undirbúningssetning,,na,kvk,Eintala,,,,,,,,preparation theorem,,,,,,,,,5803
undirfall,,na,hk,Eintala,,,,,,,,"minorant function, minorant",,,,,,,,,5804
