Hugtök: is|Orðaflokkur: is|Kyn|Tala: is|Skilgreining: is|Skýring: is|Dæmi: is|Samheiti: is|Heimild: is|Sérsvið: is|Vísun/sjá einnig: is|Hugtak: en|Skilgreining: en|Skýring: en|Dæmi: en|Samheiti: en|Heimild: en|Sérsvið: en|Vísun/sjá einnig: en
velröðun|na|kvk|Eintala||||||||well-ordering|||||||
velröðunarlögmál|na|hk|Eintala||||velröðunarsetning||||well-ordering principle||||well-ordering theorem|||
vinningsbandalag|na|hk|Eintala||||||||winning coalition|||||||
Venn-mynd|na|kvk|Eintala||||||||Venn diagram|||||||
Weierstrass-próf|na|hk|Eintala||||||||M-test||||Weierstrass test|||
Wiener-ferli|na|hk|Eintala|||||||Brownian movement|Wiener process|||||||
Wronski-ákveða|na|kvk|Eintala||||||||Wronskian|||||||
x-ás|na|kk|Eintala||||||||x-axis|||||||
ytra deildaform|na|hk|Eintala||||ytra diffurform, deildaform, diffurform||||alternating differential form||||exterior differential form, differential form|||
yfirgripsregla|na|kvk|Eintala||||||||axiom of comprehension||||axiom of abstraction, comprehension principle|||
yfirstrik|na|hk|Eintala||||||||bar||||overbar, overline, vinculum|||
ytri fylgni|na|kvk|Eintala|||||||within-class correlation|between-class correlation||||between-group correlation, external correlation, interclass correlation|||
ytra meðalfervik|na|hk|Eintala||||ytri dreifni|||within-class variance|between-class variance||||between-group variance, external variance, interclass variance|||
yfirgnæfa|sag||Eintala|||||||majorize|dominate|||||||
yfirgnæfð samleitni|na|kvk|Eintala||||||||dominated convergence|||||||
yfirgnæfð röð|na|kvk|Eintala||||||||dominated series||||majorized series|||
yfirsvið|na|hk|Eintala|||||||extension, field extension|extension field||||overfield|||
yfirbaugur|na|kk|Eintala|||||||extension, ring extension|extension ring||||overring|||
ytri|ls|hk|Fleirtala||||utanverður||||exterior|||||||
ytri algebra|na|kvk|Eintala||||Grassmann-algebra||||exterior algebra||||Grassmann algebra|||
ytra horn|na|hk|Eintala||||utanvert horn||||exterior angle||||external angle|||
ytra horn|na|hk|Eintala||||utanvert horn||||exterior angle|||||||
ytri helmingalína|na|kvk|Eintala||||||||exterior bisector|||||||
ytri einslögunarmiðja|na|kvk|Eintala||||||||exterior centre of similitude|||||||
ytra innihald|na|hk|Eintala||||ytra Jordan-innihald||||exterior content||||exterior Jordan content, outer content, outer Jordan content|||
ytri afleiða|ls|kk|Fleirtala||||||||exterior derivative|||||||
ytra deildi|ls|hk|Eintala||||ytra diffur||||exterior differential|||||||
ytra mál|na|hk|Eintala||||utanmál||||exterior measure||||outer measure, upper measure|||
ytri margföldun|na|kvk|Eintala||||||||exterior multiplication|||||||
ytri gagnstæð horn|na|hk|Fleirtala||||utanverð gagnstæð horn||||exterior opposite angles|||||||
ytri punktur|na|kk|Eintala||||||||exterior point|||||||
ytra veldi|ls|hk|Eintala||||||||exterior power|||||||
ytri aðgerð|na|kvk|Eintala||||ytri reikniaðgerð|||action, operation, operation|external composition||||external composition law, external law of composition, external operation|||
yfirhjólferill|na|kk|Eintala||||||||hypercycloid|||||||
yfirsporger|ls|hk|Eintala||||||||hyperelliptic|||||||
yfirmengi|sag||Eintala||||||||including set|||||||
yrðingarökfræði|na|kvk|Eintala||||fullyrðingarökfræði|||propositional calculus|logic of propositions||||propositional logic, sentential logic|||
yfirsetning|na|kvk|Eintala||||yfirforsenda||||major premise|||||||
yfirliður|na|kk|Eintala||||||||major term|||||||
yfirstak|na||Eintala||||yfirskorða, yfirtala||||majorant||||right bound, upper bound|||
yfirfall|na|hk|Eintala||||||||majorant function||||majorant|||
yfirröð|na|kvk|Eintala||||||||majorant series||||majorant|||
yfirmetanlegur|ls|kk|Eintala||||||||majorizable|||||||
yfirgnæfa|sag||Eintala|||||||dominate|majorize|||||||
yfirvíxlin grúpa|na||Eintala||||||||metabelian group|||||||
yfirrásuð grúpa|na|kvk|Eintala||||||||metacyclic group|||||||
yfirmál|na|hk|Eintala||||yfirtungumál||||metalanguage|||||||
yfirstærðfræðilegur|ls|kk|Eintala||||||||metamathematical|||||||
yfirstærðfræði|na|kvk|Eintala||||||||metamathematics|||||||
yfirregla|na|kvk|Eintala||||||||metarule|||||||
yfirsetning|na|kvk|Eintala||||||||metatheorem|||||||
yfirkenning|na|kvk|Eintala||||||||metatheory|||||||
yfirbreyta|na|kvk|Eintala|||||||syntactic variable|metavariable|||||||
ytra flatarmál|na|hk|Eintala||||||||outer area|||||||
ytri sjálfmótun|na|kvk|Eintala||||||||outer automorphism|||||||
ytra mál|na|hk|Eintala||||utanmál||||outer volume|||||||
yfirferðarpunktur|na|kk|Eintala||||||||overcrossing|||||||
yfirákvarðaður|ls||Eintala||||ofákvarðaður||||over-determined|||||||
yfirmótull|na|hk|Eintala||||||||overmodule|||||||
yrðingareikningur|na|kk|Eintala||||fullyrðingareikningur|||propositional logic|propositional calculus||||sentential calculus|||
yrðingamót|na|hk|Eintala|||||||form|propositional form|||||||
yrðingafall|na|hk|Eintala|||||||predicate|propositional function||||sentential function, statement function|||
yrðingabreyta|na|kvk|Eintala||||fullyrðingabreyta||||propositional variable||||sentential variable|||
yfirráðasvæði|na|hk|Eintala||||||||scope|||||||
yfirviðbætinn|ls||Eintala||||yfirsamleggjandi||||superadditive|||||||
yfirhornalína|na|kvk|Eintala||||||||superdiagonal|||||||
yfirþýður|ls|kk|Eintala||||||||superharmonic|||||||
yfirborð|na|hk|Eintala||||||||surface|||||||
yfirsumma|na|kvk|Eintala||||||||upper sum|||||||
y-ás|na|kk|Eintala||||||||y-axis|||||||
z-ás|na|kk|Eintala||||||||\nobreak z-axis|||||||
Zermelo-Fraenkel-mengjafræði|na|kvk|Eintala|||||||ZF|\nobreak Zermelo-Fraenkel set theory|||||||
Zermelo-Fraenkel-mengjafræði með valfrumsendu|na|kvk|Eintala|||||||ZFC|Zermelo-Fraenkel set theory with axiom of choice|||||||
áreiðanleiki|na|kk|Eintala||||||||accuracy|||||||
ássamlínumótun|na|kvk|Eintala||||||||axial collineation|||||||
ássamhvarf|na|hk|Eintala||||ássamhverfni||||axial symmetry|||||||
ássamhverfing|na|kvk|Eintala||||ássamhverfa||||axial symmetry|||||||
ásvigur|na|kk|Eintala||||snúningsvigur||||axial vector|||||||
ássamhverfur|na|kvk|Fleirtala||||||||axially symmetric|||||||
ás|na|kk|Eintala|||||||coordinate axis|axis|||||||
ás|na|kk|Eintala||||möndull|||axis of revolution|axis|||||||
ástand|na|hk|Eintala||||||||condition|||||||
ástandstala|na|kvk|Eintala||||||||condition number|||||||
áhætta neytandans|na|kvk|Eintala||||||||consumer's risk|||||||
áttaður hringur|na|kk|Eintala||||||||cycle||||oriented circle|||
ákvarðanlegur|ls|kk|Eintala||||úrskurðanlegur||||decidable|||||||
ákvörðun|na|kvk|Eintala||||||||decision|||||||
ákvörðunarfall|na|hk|Eintala||||||||decision function|||||||
ákvörðunarverkefni|na|hk|Eintala||||||||decision problem||||decidability problem|||
ákvörðunaraðferð|na|kvk|Eintala||||||||decision procedure|||||||
ákvörðunarferli|na|hk|Eintala||||||||decision process|||||||
ákvarðanafræði|na|kvk|Eintala||||||||decision theory|||||||
ávöntun|na|kvk|Eintala||||||||defect||||deficiency|||
ákveðið heildi|na|hk|Eintala||||ákveðið tegur||||definite integral|||||||
ákveða|na|kvk|Eintala|||||||det|determinant|||||||
ákveðu-|ls||Eintala||||||||determinantal|||||||
ákveðujafna|na|kvk|Eintala||||||||determinantal equation|||||||
ákvarðaður|ls||Eintala||||||||determinate|||||||
áttaður|ls|kk|Eintala||||stefndur, stefnubundinn||||directed||||oriented|||
áttað horn|na|hk|Eintala||||stefnt horn, snúningshorn||||directed angle||||oriented angle|||
ámóta|ls|kvk|Fleirtala||||||||epimorphic||||epic|||
ámótun|na|kvk|Eintala||||||||epimorphism|||||||
áhættuleikur|na|kk|Eintala||||||||game of chance||||gamble, game of hazard|||
álægur|ls|kk|Eintala||||||||incident|||||||
ássnið|na|hk|Eintala||||||||intercept|||||||
átæk vörpun|na|kvk|Eintala||||||||mapping onto||||surjection, surjective mapping|||
átthyrningur|na|kk|Eintala||||||||octagon|||||||
átthyrningstala|na|kvk|Eintala||||átthyrnd tala|||figurate number|octagonal number|||||||
áttflötungur|na|kk|Eintala||||||||octahedron|||||||
áttunda-|ls||Eintala||||||||octal||||octonary|||
áttundareikningur|na|kk|Eintala||||||||octal arithmetic|||||||
áttundakerfi|na|hk|Eintala||||||||octal numeration system|||||||
áttungur|na|kk|Eintala||||||||octant|||||||
átækur|ls|kk|Eintala||||||||onto||||surjective|||
átæk mótun|na|kvk|Eintala||||átæk sammótun|||epimorphism|onto homomorphism||||surjective homomorphism|||
áttanleiki|na||Eintala||||||||orientability|||||||
áttanlegur|ls|kk|Eintala||||||||orientable|||||||
áttun|na|kvk|Eintala||||||||orientation|||||||
áttrækinn|ls|kk|Eintala||||||||orientation-preserving|||||||
áttrækin einsfirðun|||Eintala|||||||proper orthogonal transformation, rotation|orientation-preserving isometry|||||||
áttskiptinn|ls||Eintala||||||||orientation-reversing|||||||
áttskiptin einsfirðun|na||Eintala|||||||improper orthogonal transformation, reversal, rotary reflection|orientation-reversing isometry|||||||
áttaður|ls|kk|Eintala||||||||oriented|||||||
áttuð víðátta|na|kvk|Eintala||||||||oriented manifold|||||||
áttuð slétta|ls|hk|Fleirtala||||||||oriented plane|||||||
áttað rúm|na|hk|Eintala||||||||oriented space|||||||
á köflum|at|kk|Fleirtala||||||||piecewise|||||||
ákveðnipunktur|na|kk|Eintala||||||||point of determinacy|||||||
áreiðanleiki|na|kk|Eintala||||||||reliability|||||||
áhætta|na|kvk|Eintala|||||||risk of the first kind, risk of the second kind|risk|||||||
áhættufall|na|hk|Eintala||||||||risk function|||||||
áhættufræði|na|kvk|Eintala||||||||risk theory|||||||
án formerkis|ls||Eintala||||||||signless||||unsigned|||
ámóta|ls|hk|Fleirtala||||||||similar|||||||
ámóta fylki|na|hk|Eintala||||||||similar matrix|||||||
ástand|na|hk|Eintala|||||||state|situation|||||||
ástand|na|hk|Eintala||||stand||||state|||||||
ástandsrúm|na|hk|Eintala||||||||state space|||||||
ástandsvigur|na|kk|Eintala||||||||state vector|||||||
ályktunartölfræði|na|kvk|Eintala||||||||statistical inference|||||||
ámyndun|na|kvk|Eintala|||||||immersion|submersion|||||||
átekt|na|kvk|Eintala||||átaka||||surjectivity|||||||
án skerðingar á víðgildi|na||Eintala||||||||without loss of generality|||||||
ætt|na|kvk|Eintala||||||||genus|||||||
æðri stærðfræði|na|kvk|Eintala||||||||higher mathematics|||||||
æstæður|ls|kvk|Fleirtala||||sístæður, í jafnvægi, jafnvægis-||||stationary|||||||
í hið óendanlega|||Eintala||||||||ad infinitum|||||||
íðalkeðja|na||Eintala||||||||chain of ideals|||||||
íholur|ls|kk|Eintala||||íbjúgur||||concave|||||||
ítrekunarrás|na|kvk|Eintala||||ítrekunarhringur, ítrekunarlykkja||||cycle||||iterative cycle|||
íðal-|ls||Eintala||||||||ideal|||||||
íðal|na||Eintala||||||||ideal|||||||
íðalflokkur|na||Eintala||||||||ideal class|||||||
íðalflokkagrúpa|na||Eintala||||||||ideal class group|||||||
íðalgrúpa|na||Eintala||||||||ideal group|||||||
ímyndaður hringur|na|kk|Eintala||||||||imaginary circle|||||||
ívarp|sag||Eintala||||||||inclusion mapping||||inclusion, inclusion function|||
ílag|na|hk|Eintala||||||||input|||||||
ílagsgögn|na|hk|Fleirtala||||||||input data|||||||
ílags-frálagsgreining|na|kvk|Eintala||||||||input-output analysis|||||||
í öfugu hlutfalli við|||Eintala|||||||directly proportional|inversely proportional||||reciprocally proportional|||
ítreka|sag||Eintala||||||||iterate|||||||
ítrekun (vörpunar)|na||Eintala||||ítrekuð vörpun|||iteration|iterate||||iterated mapping|||
ítrekað heildi|na|hk|Eintala||||ítrekað tegur, endurtekið heildi, endurtekið tegur|||multiple integral|iterated integral||||repeated integral|||
ítrekun|na|kvk|Eintala|||||||iterate|iteration||||iterating, iteration process|||
ítrekunarfræði|na|kvk|Eintala||||||||iteration theory|||||||
ítrekunarreikningur|na|kk|Eintala||||||||iterative computation|||||||
ítrekunaraðferð|na|kvk|Eintala||||||||iterative method||||iteration method|||
ítrekunarskref|na|hk|Eintala||||||||iterative step||||iteration step|||
ívera|na|kvk|Eintala||||||||membership|||||||
íveruvensl|na|hk|Fleirtala||||||||membership relation|||||||
íverutákn|na|hk|Eintala||||||||membership sign||||set-membership symbol|||
í samræmi við röðun|na|hk|Eintala||||raðvís||||order compatible|||||||
ílangur sporvölusnúður|na|kk|Eintala||||||||ovary ellipsoid||||prolate ellipsoid|||
ílangur sporvölusnúðflötur|na|kk|Eintala||||||||ovary ellipsoid||||prolate ellipsoid|||
ílangur sporvölusnúður|na|kk|Eintala|||||||oblate ellipsoid|prolate ellipsoid||||prolate spheroid|||
ílangur sporvölusnúðflötur|na|kk|Eintala|||||||oblate ellipsoid|prolate ellipsoid||||prolate spheroid|||
í punkti|ls||Eintala||||í hverjum punkti||||punctual|||||||
í jöfnum mæli|ls|kvk|Fleirtala||||||||uniform|||||||
óskilyrt ójafna|na|kvk|Eintala||||||||absolute inequality||||unconditional inequality|||
óviðkennd tala|ls|hk|Fleirtala||||||||abstract number||||unnamed number|||
óhlutbundinn hyrnuklasi|ls|kk|Eintala||||||||abstract simplicial complex|||||||
óðal|na|hk|Eintala|||||||latent domain|actual domain||||domain, left domain|||
órásaður|ls|kk|Eintala||||óhringaður||||acyclic|||||||
órásaður fléttingur|na|kk|Eintala||||óhringaður fléttingur||||acyclic complex|||||||
ólotubundið ástand|na|hk|Eintala||||lotulaust ástand||||aperiodic state|||||||
ótiltekinn|ls|kk|Eintala||||hver sem er||||arbitrary|||||||
ótiltekið stak|na|hk|Eintala|||||||typical element|arbitrary element|||||||
ósamhverfur|ls|kk|Eintala|||||||antisymmetric|asymmetric|||||||
ósamhverf dreifing|na|kvk|Eintala||||||||asymmetric distribution|||||||
óendanleikafrumsenda|na|kvk|Eintala||||óendanleikafrumsetning, frumsenda um óendanleika, frumsetning um óendanleika||||axiom of infinity||||infinity axiom|||
ókleyft tilvik|na|hk|Eintala||||||||casus irreducibilis||||irreducible case|||
óbein ályktun|na|kvk|Eintala|||||||reductio ad absurdum|conclusion ex absurdo|||||||
óendanlegt margfeldi|na|hk|Eintala||||||||continued product||||infinite product|||
ósamþátta|ls||Eintala||||ósamþættur||||coprime||||mutually prime, relatively prime|||
ólínulegt aðhvarf|na|hk|Eintala||||||||curvilinear regression|||||||
ólínuleg hneigð|na|kvk|Eintala||||||||curvilinear trend||||non-linear trend|||
óaðskiljanleikastig|na|hk|Eintala|||||||index of inseparability|degree of inseparability||||inseparability degree, inseparable degree|||
ósamanhangandi|ls|kk|Eintala||||ósamhangandi||||disconnected||||unconnected|||
ósamfelldni|na||Eintala||||||||discontinuity|||||||
ósamfelldni frá vinstri|na||Eintala||||||||discontinuity on the left|||||||
ósamfelldni frá hægri|na||Eintala||||||||discontinuity on the right|||||||
ósamfelldur|ls|kk|Eintala||||||||discontinuous|||||||
ósamfellt fall|na|hk|Eintala||||||||discontinuous function|||||||
ósamfelldur frá hægri|ls|kk|Eintala||||||||discontinuous on the left|||||||
ósamfelldur frá vinstri|na|hk|Eintala||||||||discontinuous on the right|||||||
ósamleitni|na|kvk|Eintala||||||||divergence||||divergency|||
ósamleitinn|ls|kk|Eintala||||||||divergent|||||||
ósammiðja|ls|hk|Eintala||||hjámiðja|||eccentric circle|eccentric|||||||
óreiða|na|kvk|Eintala||||||||entropy|||||||
óreglulegur sérstöðupunktur|na|kk|Eintala|||||||inessential singular point|essential singular point||||irregular singular point, irregular singularity|||
óendanleg þáttun|na|kvk|Eintala||||margfeldisliðun, feldisliðun||||expansion in an infinite product||||product expansion|||
óaðskiljanleikavísir|na|kk|Eintala|||||||degree of inseparability|exponent of inseparability||||index of inseparability|||
óviðkomandi rót|na|hk|Eintala||||||||extraneous root|||||||
ósannur|ls|kk|Eintala||||||||false|||||||
ósannindi|na|hk|Fleirtala||||ósannleikur||||falsehood|||||||
ófullkomleikasetning Gödels|na|kvk|Eintala||||||||Gödel's incompleteness theorem|||||||
óhliðraður|ls|kk|Eintala||||||||homogeneous|||||||
óhliðruð línuleg deildajafna|na|kvk|Eintala||||óhliðruð línuleg diffurjafna||||homogeneous linear differential equation||||homogeneous differential equation|||
óhliðruð línuleg jafna|na|kvk|Eintala||||||||homogeneous linear equation|||||||
óhliðrað jöfnuhneppi|na|hk|Eintala||||||||homogeneous system of equations|||||||
ófullgerður|ls|kk|Eintala||||||||imperfect|||||||
ófullkomin tala|ls|hk|Fleirtala||||||||imperfect number|||||||
óbein skilgreining|na|kvk|Eintala||||fólgin skilgreining||||implicit definition|||||||
óbein deildun|na|kvk|Eintala||||óbein diffrun, fólgin deildun, fólgin diffrun||||implicit differentiation|||||||
ófærusönnun|na|kvk|Eintala||||ómöguleikasönnun||||impossibility proof|||||||
ófær|ls|kvk|Eintala||||ómögulegur||||impossible|||||||
ómögulegur atburður|na|kk|Eintala||||||||impossible event|||||||
óeiginlegur|ls|kk|Eintala||||||||improper|||||||
óeiginlegur strengur|na|kk|Eintala||||||||improper chord|||||||
óeiginlegur flokkur|na|kk|Eintala||||||||improper class|||||||
óeiginleg afleiða|ls|hk|Fleirtala||||||||improper derivative||||infinite derivative|||
óeiginleg deildun|na|kvk|Eintala||||óeiginleg diffrun||||improper differentiability|||||||
óeiginleg ósamleitni|na|kvk|Eintala||||||||improper divergence||||oscillating divergence|||
óeiginleg evklíðsk hreyfing|na|kvk|Eintala||||||||improper Euclidean motion|||||||
óeiginlegt brot|na|hk|Eintala||||||||improper fraction|||||||
óeiginlegt heildi|na|hk|Eintala||||óeiginlegt tegur||||improper integral|||||||
óeiginleg þverstaðalvörpun|na|kvk|Eintala||||snúspeglun|||orientation-reversing isometry|improper orthogonal transformation||||reversal, rotary reflection|||
óeiginlegt rætt fall|na|hk|Eintala||||||||improper rational function|||||||
óeiginlega heildanlegur|ls|kk|Eintala||||óeiginlega tegranlegur||||improperly integrable|||||||
óaðgengilegur jaðarpunktur|na|kk|Eintala||||||||inaccessible boundary point|||||||
óaðgengileg fjöldatala|na|kvk|Eintala||||||||inaccessible cardinal|||||||
óreiknanleiki|na||Eintala||||||||incalculability||||non-computability|||
óreiknanlegur|ls|kk|Eintala||||||||incalculable||||non-computable|||
ósammælanleiki|na||Eintala||||||||incommensurability|||||||
ósammælanlegur|ls|kk|Eintala||||||||incommensurable|||||||
ósamkvæmni|na|kvk|Eintala||||ósamrýmanleiki||||incompatibility||||inconsistency|||
ósamkvæmur|ls|kk|Eintala||||ósamrýmanlegur||||incompatible||||inconsistent|||
ófullkominn|ls|kk|Eintala||||||||incomplete|||||||
ósamþjappanlegur|ls|kk|Eintala||||||||incompressible|||||||
ósamsnið|na|hk|Eintala||||||||incongruence||||non-congruence|||
ósamleifa|ls||Eintala||||||||incongruent|||||||
ósamsniða|ls||Eintala||||||||incongruent||||incongruous|||
ósamkvæmur metill|na|kk|Eintala||||||||inconsistent estimator|||||||
óþættanleiki|na||Eintala||||ókljúfanleiki, ókleyfi||||indecomposability|||||||
óþættanlegur|ls|kk|Eintala||||ókljúfanlegur, ókleyfur||||indecomposible|||||||
óráðið form|na|hk|Eintala||||óákveðið form||||indefinite form|||||||
óákveðið heildi|na|hk|Eintala||||óákveðið tegur|||antiderivative, primitive|indefinite integral|||||||
óendanlega vaxandi|ls|hk|Fleirtala||||||||indefinitely increasing||||infinitely increasing|||
óhæði|na|hk|Eintala||||||||independence|||||||
óhæðisönnun|na|kvk|Eintala||||||||independence proof|||||||
óháður|ls|kk|Eintala|||||||algebraically independent, independent variable, linearly independent|independent|||||||
óháðar frumsendur|na|kvk|Fleirtala||||óháðar frumsetningar||||independent axioms|||||||
óháðir atburðir|na|kk|Fleirtala||||||||independent events||||stochastically independent events|||
óháðar hendingar|na|kvk|Fleirtala||||||||independent random variables||||independent variates|||
óháð úrtaka|na|kvk|Eintala||||||||independent sampling|||||||
ótiltekinn|ls|kk|Eintala||||||||indeterminate|||||||
óákvarðaður|ls||Eintala||||óákveðinn||||indeterminate|||||||
óákveðin stærð|na|kvk|Eintala||||||||indeterminate|||||||
óráðið stærðtákn|na|hk|Eintala||||||||indeterminate form|||||||
óákveðið form|na|hk|Eintala||||||||indeterminate form|||||||
óbein sönnun|na|kvk|Eintala||||||||indirect proof||||proof by contradiction, reductio ad absurdum|||
óbein úrtaka|na|kvk|Eintala||||||||indirect sampling|||||||
ódeilanlegur|ls|kk|Eintala||||||||indivisible|||||||
óskilvirkur|ls|kk|Eintala||||||||inefficient|||||||
óskilvirkur metill|na|kk|Eintala||||||||inefficient estimator|||||||
ójafna|na|kvk|Eintala||||||||inequality|||||||
ójöfnuþvingun|na|kvk|Eintala||||||||inequality constraint|||||||
ójöfnumerki|na|hk|Eintala||||||||inequality sign|||||||
óverulegur|ls|kk|Eintala||||||||inessential|||||||
óverulegur sérstöðupunktur|na|kk|Eintala||||||||inessential singularity||||inessential singular point, regular singular point, regular singularity|||
óendanlegur|ls|kk|Eintala|||||||infinitely many, infinitely great, infinitely small, transfinite|infinite|||||||
óendanleg fjöldatala|na|kvk|Eintala||||ofurendanleg fjöldatala|||aleph, infinite number|infinite cardinal||||transfinite cardinal|||
óendanlegt tugabrot|na|hk|Eintala||||||||infinite decimal||||non-terminating decimal|||
óendanleg tala|ls|hk|Fleirtala|||||||infinite quantity, infinity|infinite number|||||||
óendanlegur fjöldi|na|kk|Eintala|||||||infinite cardinal|infinite number|||||||
óendanleg raðtala|na|kvk|Eintala||||ofurendanleg raðtala||||infinite ordinal||||transfinite ordinal|||
óendanleg slétta|ls|hk|Fleirtala||||||||infinite plane|||||||
óendanleg stærð|na|kvk|Eintala|||||||infinite number|infinite quantity||||infinity|||
óendanleg runa|ls|hk|Fleirtala||||runa|||sequence|infinite sequence||||sequence|||
óendanleg röð|na|kvk|Eintala||||röð|||series|infinite series||||series|||
óendanlegt mengi|ls|hk|Eintala||||||||infinite set|||||||
óendanlega víður|ls|kk|Eintala||||||||infinite-dimensional|||||||
óendanlega oft deildanlegur|ls|kk|Eintala||||óendanlega oft diffranlegur, þjáll||||infinitely differentiable||||smooth|||
óendanlega stór|na|kvk|Fleirtala|||||||infinite|infinitely great|||||||
óendanlega margir|ls|kk|Fleirtala|||||||infinite|infinitely many|||||||
óendanlega lítill|ls|kk|Eintala|||||||infinite, infinitesimal|infinitely small|||||||
óendanleiki|na|kk|Eintala||||||||infinity||||infinitude|||
óaðskiljanleiki|na|kk|Eintala|||||||inseparable degree|inseparability|||||||
óaðskiljanlegur|ls|kk|Eintala||||||||inseparable|||||||
óleysanlegur|ls|kk|Eintala||||||||insoluble||||irresoluble, unsolvable|||
óstöðugleiki|na|kk|Eintala||||||||instability|||||||
ógegnvirkur|ls|kk|Eintala||||ekki gegnvirkur||||intransitive|||||||
óbreytni|na|kvk|Eintala||||||||invariance|||||||
óbreyttur|ls|kk|Eintala||||||||invariant|||||||
óbreyta|na|kvk|Eintala||||||||invariant|||||||
óbreyttur eiginleiki|na|kk|Eintala||||||||invariant property||||invariance property|||
óbreytt mengi|ls|hk|Fleirtala||||||||invariant set|||||||
óbreytt hlutrúm|na|hk|Eintala||||||||invariant subspace|||||||
óræður|ls|kk|Eintala||||||||irrational|||||||
óræð tala|ls|hk|Fleirtala||||||||irrational number||||irrational|||
óræðni|na|kvk|Eintala||||||||irrationality|||||||
ókleyfi|na||Eintala||||óþættanleiki, ókljúfanleiki||||irreducibility|||||||
ókljúfanleg algebrulegt mengi|na|hk|Eintala||||||||irreducible algebraic set|||||||
ósmækkanlegt spannmengi|ls|hk|Eintala||||ósmækkanlegt spannandi mengi, óminnkanlegt spannmengi, óminnkanlegt spannandi mengi||||irreducible generating set||||minimal generating set, minimal set of generators, minimal system of generators|||
óþættanleg Markov-keðja|ls|hk|Fleirtala||||||||irreducible Markov chain|||||||
óþættanleg margliða|na|kvk|Eintala||||||||irreducible polynomial|||||||
óstyttanleg frymin þáttun|||Eintala||||||||irredundant primary decomposition|||||||
óafsannanlegur|ls|kk|Eintala||||||||irrefutable|||||||
óreglulegur|ls|kk|Eintala||||||||irregular|||||||
óregluleg frumtala|na|kvk|Eintala||||||||irregular prime|||||||
óbreyttur frá vinstri|ls|hk|Eintala||||||||left-invariant||||left invariant|||
óstækkanleiki|na||Eintala||||||||maximality||||maximal property|||
óminnkanleiki|na||Eintala||||||||minimality|||||||
ósamþátta tveir og tveir|||Eintala||||ósamþættir tveir og tveir|||mutually prime|mutually coprime|||||||
ósamrýmanlegir tveir og tveir|ls|kk|Fleirtala||||sundurlægir tveir og tveir||||mutually exclusive||||mutually disjoint|||
óverulegur|ls|kk|Eintala||||hverfandi||||negligible|||||||
óabelskur|ls||Eintala||||||||non-abelian|||||||
óvíxlinn|ls||Eintala||||óabelskur|||non-commutative|non-abelian|||||||
óaðlægur|ls|kk|Eintala||||ósamlægur, ósamliggjandi, grunnstæður||||non-adjacent|||||||
ódeilishluti|na||Eintala||||hluti en ekki deilir||||non-aliquot part|||||||
óarkimedískur|ls||Eintala||Einnig ritað: {\it non-Archimedean}||||||non-archimedean|||||||
óarkimedísk rúmfræði|na||Eintala||||||||non-archimedean geometry|||||||
ótenginn|ls||Eintala||||||||non-associative|||||||
ólokuð segð|na|kvk|Eintala||||ólokuð fullyrðing, ólokuð yrðing|||open formula, open statement|non-closed formula|||||||
ósamlína|ls|kvk|Eintala||||||||non-collinear|||||||
óvíxlinn|ls||Eintala|||||||non-abelian|non-commutative|||||||
óvíxlanlegur|ls|kk|Eintala||||||||non-commuting||||non-interchangeable, non-permutable|||
óþjappaður|ls|kk|Eintala||||||||non-compact|||||||
ósambærilegur|ls|kk|Eintala||||||||non-comparable|||||||
ósampunkta|ls||Eintala||||||||non-concurrent|||||||
ósamrýndur bútur|na|kk|Eintala|||||||conforming element|nonconforming element|||||||
ósamsniða|ls||Eintala||||||||non-congruent|||||||
óuppbyggjandi|ls|kk|Fleirtala||||||||non-constructive|||||||
óuppbyggjandi tilvistarsönnun|na|kvk|Eintala||||||||non-constructive existence proof|||||||
óúrkynjaður|ls|kk|Eintala||||ósérstæður||||non-degenerate||||non-singular|||
óteljanlegur|ls|kk|Eintala||||||||non-denumerable||||non-enumerable, uncountable|||
óargeskur|ls||Eintala||||||||non-Desarguesian|||||||
óáttaður|ls|kk|Eintala||||óstefndur, óstefnubundinn||||non-directed||||non-oriented, undirected|||
óstefnt net|na|hk|Eintala||||óáttað net||||non-directed graph||||non-oriented graph, undirected graph|||
óstrjáll|ls|kk|Eintala||||||||non-discrete|||||||
ósundurlægur|ls|kk|Eintala||||skaraður||||non-disjoint||||overlapping|||
óevklíðskur|ls|kk|Eintala||Einnig ritað: {\it non-Euclidean}||||||non-euclidean|||||||
óevklíðsk rúmfræði|na|kvk|Eintala|||||||absolute geometry, conformal geometry, elliptic geometry, euclidean geometry, hyperbolic geometry, inversive geometry, Minkowski geometry, Möbius geometry, neutral geometry, non-archimedean geometry, parabolic geometry, projective geometry, Riemannian geometry, spherical geometry, spherics|non-euclidean geometry|||||||
óevklíðskur flutningur|na|kk|Eintala||||óevklíðsk hreyfing||||non-euclidean motion|||||||
órífkandi|ls||Eintala||||||||non-expansive|||||||
óhlutvera|na|kvk|Eintala||||||||non-inclusion|||||||
óumhverfanlegur|ls|kk|Eintala||||||||non-invertible|||||||
óandhverfanlegur|ls|kk|Eintala||||||||non-invertible|||||||
ólínulegur|ls|kk|Eintala||||||||non-linear|||||||
ólínuleiki|na||Eintala||||||||non-linearity|||||||
ómagur|ls|kk|Eintala||||ekki magur||||non-meagre|||||||
