Hugtök: is|Orðaflokkur: is|Kyn|Tala: is|Skilgreining: is|Skýring: is|Dæmi: is|Samheiti: is|Heimild: is|Sérsvið: is|Vísun/sjá einnig: is|Hugtak: en|Skilgreining: en|Skýring: en|Dæmi: en|Samheiti: en|Heimild: en|Sérsvið: en|Vísun/sjá einnig: en
aðfelld hálflína|na|kvk|Eintala||||||||asymptotic ray|||||||
aðfelluröð|na|kvk|Eintala||||||||asymptotic series|||||||
aðfelldur þríhyrningur|na|kk|Eintala|||||||doubly asymptotic triangle, trebly asymptotic triangle|asymptotic triangle|||||||
aðfellu-|at||Eintala||||||||asymptotically|||||||
aðfelluskilvirkur|ls|kk|Eintala||||||||asymptotically efficient|||||||
aðfellujafn|ls|kk|Eintala||||||||asymptotically equal|||||||
aðfellunormlegur|ls|kk|Eintala||||||||asymptotically normal|||||||
aðfellustöðugur|ls|kk|Eintala||||||||asymptotically stable|||||||
aðfelluréttur|na|kk|Eintala||||||||asymptotically unbiased|||||||
af handahófi|na|hk|Eintala||||||||at random|||||||
atlas|na|kk|Eintala||||kortasafn||||atlas|||||||
atóm|na|hk|Eintala|||||||elementary event, simple event|atom|||||||
aðdráttarpunktur|na|kk|Eintala||||||||attractor||||point of attraction|||
aðdráttarmengi|na||Eintala||||||||attractor|||||||
aukinn|ls||Eintala||||||||augmented|||||||
aukið fylki|na|kk|Eintala||||||||augmented matrix|||||||
aukahending|na|kvk|Eintala||||||||auxiliary statistic|||||||
aðskilnaðarfrumsenda|na|kvk|Eintala||||||||axiom of separation||||separation axiom|||
afturinnsetning|na|kvk|Eintala||||endurinnsetning|||forward substitution|back substitution||||inverse calculation|||
afturvirk skekkjugreining|na|kvk|Eintala||||||||backward error analysis|||||||
afturfærsla|na|kvk|Eintala||||||||backward shift|||||||
autt sæti|na|hk|Eintala||||||||blank||||Leerstelle, vacant place|||
aðfelld samsíða lína|na|kvk|Eintala||||||||bounding parallel|||||||
atburður (í líkindafræði)|na|kk|Eintala||||tilviljanakenndur atburður||||chance event||||random event|||
aðmengi|na||Eintala||||ítak, bakmengi||||codomain||||latent range, potential range, range, target, target set|||
aðhlutur|na|kk|Eintala||||bakhlutur|||counterdomain|codomain||||range, range carrier, target|||
almennt brot|na|hk|Eintala||||||||common fraction||||ordinary fraction, simple fraction, vulgar fraction|||
aðgerðartákn|na|hk|Eintala||||||||composition symbol|||||||
afleiðing|na|kvk|Eintala||||||||consequence|||||||
andbrigður|ls|kvk|Fleirtala||||mótbrigður||||contravariant|||||||
andbrigður þinur|na|kk|Eintala||||mótbrigður þinur||||contravariant tensor|||||||
andhverfing|na|kvk|Eintala||||||||converse||||converse conditional|||
auðkenning|na|kvk|Eintala||||greinimark||||criterion|||||||
afkóta|sag||Eintala||||dulráða, aflykla|||code, encode|decode|||||||
afkótun|na|kvk|Eintala||||dulráðning, aflyklun|||coding, encoding|decoding|||||||
afleiðanlegur|ls|kk|Eintala||||||||deducible||||derivable|||
afleiðsla|na|kvk|Eintala||||ályktun|||proof|deduction||||inference, logical deduction|||
afleiðslu-|ls||Eintala||||||||deductive|||||||
afleiðsluaðferð|na|kvk|Eintala||||||||deductive method|||||||
afleiðslusönnun|na|kvk|Eintala||||||||deductive proof|||||||
aðskiljanleikastig|na|hk|Eintala||||||||degree of separability||||separability degree, separable degree|||
afleiðanleiki|na||Eintala||||||||derivability|||||||
afleiðsla|na|kvk|Eintala||||||||derivation|||||||
afleiðingur|na|kk|Eintala||||afleiðuvirki||||derivation|||||||
afleiða|na|kvk|Eintala||||afleitt fall|||derivative at a point|derivative||||derived function|||
afleiddur|ls|kk|Eintala||||||||derived|||||||
afleitt ríki|ls|hk|Eintala||||||||derived category|||||||
afleiddur varpi|na|kk|Eintala||||||||derived functor|||||||
afleitt mengi|ls|hk|Eintala||||||||derived set||||derivative set|||
aðhvarfsfrávik|na|hk|Eintala||||leif||||deviation from regression||||remainder, residual|||
