Hugtök: is,Orðaflokkur: is,Kyn,Tala: is,Skilgreining: is,Skýring: is,Dæmi: is,Samheiti: is,Heimild: is,Sérsvið: is,Vísun/sjá einnig: is,Hugtak: en,Skilgreining: en,Skýring: en,Dæmi: en,Samheiti: en,Heimild: en,Sérsvið: en,Vísun/sjá einnig: en,id
afgangssetning,na,kvk,Eintala,,,,,,,,remainder theorem,,,,,,,,103
afgangsskekkja,na,kvk,Eintala,,,,,,,,residual error,,,,,,,,104
afgangur,na,,Eintala,Sjá <ref idTerm=686>deiling með afgangi</ref>.,,,minnsta leif,,,,least non-negative residue,,,,"principal remainder, remainder",,,,105
afkóta,sag,,,,,,"dulráða, aflykla",,,"code, encode",decode,,,,,,,,106
afkótun,na,kvk,Eintala,,,,"dulráðning, aflyklun",,,"coding, encoding",decoding,,,,,,,,107
afleiddur,ls,kk,Eintala,,,,,,,,derived,,,,,,,,111
afleiddur varpi,na,kk,Eintala,,,,,,,,derived functor,,,,,,,,112
afleiðanlegur,ls,kk,Eintala,,,,,,,,deducible,,,,derivable,,,,109
afleiðanleiki,na,kk,Eintala,,,,,,,,(in logic) derivability,,,,,,,,110
afleiða,na,,Eintala,,,,afleitt fall,,,derivative at a point,derivative,,,,derived function,,,,108
afleiðing,na,kvk,Eintala,,,,,,,,consequence,,,,,,,,113
afleiðingur,na,kk,Eintala,,,,afleiðuvirki,,,,(in algebra and analysis) derivation,,,,,,,,114
afleiðsla,na,kvk,Eintala,,,,,,,,(in logic) derivation,,,,,,,,115
afleiðsla,na,kvk,Eintala,,,,ályktun,,,proof,deduction,,,,"inference, logical deduction",,,,116
afleiðsluaðferð,na,kvk,Eintala,,,,,,,,deductive method,,,,,,,,118
afleiðslusönnun,na,kvk,Eintala,,,,,,,,deductive proof,,,,,,,,119
afleiðslu-,pref,,Eintala,,,,,,,,deductive,,,,,,,,117
afleitt mengi,na,hk,Eintala,,,,,,,,derived set,,,,derivative set,,,,120
afleitt ríki,na,hk,Eintala,,,,,,,,derived category,,,,,,,,121
aflfræði,na,kvk,Eintala,,,,,,,,mechanics,,,,,,,,122
aflfræðigreining,na,kvk,Eintala,,,,,,,,analytic mechanics,,,,analytical mechanics,,,,123
afmáanlegur sérstöðupunktur,na,kk,Eintala,,,,,,,,removable singularity,,,,removable singular point,,,,125
afmáanleg ósamfelldni,na,kvk,Eintala,,,,,,,,removable discontinuity,,,,,,,,124
afsannanlegur,ls,kk,Eintala,,,,hrekjanlegur,,,,refutable,,,,,,,,127
afsannanleiki,na,kk,Eintala,,,,,,,,falsifiability,,,,,,,,128
afsannanleiki,na,kk,Eintala,,,,hrekjanleiki,,,,refutability,,,,,,,,129
afsanna,sag,,,,,,hrekja,,,,refute,,,,,,,,126
afstæði,na,hk,Eintala,,,,,,,,relativity,,,,,,,,133
afstæð samkvæmni,na,kvk,Eintala,,,,,,,,relative consistency,,,,,,,,131
afstæð svipgrúpa,na,kvk,Eintala,,,,,,,,relative homology group,,,,,,,,132
afsönnun,na,kvk,Eintala,,,,hrakning,,,,refutation,,,,refutal,,,,130
aftasti tölustafur,na,kk,Eintala,,,,,,,,last digit,,,,,,,,134
