Hugtök: is,Val: is,Orðaflokkur: is,Kyn,Tala: is,Skilgreining: is,Skýring: is,Dæmi: is,Samheiti: is,Heimild: is,Sérsvið: is,Vísun/sjá einnig: is,Hugtak: en,Val: en,Skilgreining: en,Skýring: en,Dæmi: en,Samheiti: en,Heimild: en,Sérsvið: en,Vísun/sjá einnig: en,id
samsniða fylki,0,na,hk,Eintala,,,,,,,,congruent matrix,0,,,,,,,,4527
"samsniða myndir, aljafnar myndir, eins myndir",0,na,kvk,Fleirtala,,,,,,,,congruent figures,0,,,,,,,,4528
"samsniða, aljafn, eins",0,ls,,,,,,,,,"directly congruent, inversely congruent, oppositely congruent","(in geometry) congruent, congruous, superposable",0,,,,,,,,4529
"samsnið, aljöfnuður",0,na,,Eintala,,,,,,,,(in geometry) congruence,0,,,,,,,,4526
"samstak, ok",0,na,hk,Eintala,,,,,,,"least upper bound, lowest upper bound, meet, supremum",(in a lattice) join,0,,,,,,,,4532
samstétta,0,ls,,,,,,,,,cardinality,"equipotent, equipollent, equinumerous, equivalent",0,,,,,,,,4533
samstíga,0,ls,,,,,,,,,,simultaneous,0,,,,,,,,4534
samstíga hornalínugerningur,0,na,kk,Eintala,,,,,,,,simultaneous diagonalization,0,,,,,,,,4535
samstríkkaðar myndir,0,na,kvk,Fleirtala,,,,,,,,homothetic figures,0,,,,,,,,4536
samsvarandi,0,ls,,Eintala,,,,,,,,corresponding,0,,,,,,,,4537
samsvarandi horn,0,na,hk,Eintala,,,,,,,,corresponding angles,0,,,,,,,,4538
samsvipa,0,ls,,,,,,,,,,homologous,0,,,,,,,,4539
samsvipur,0,na,kk,Eintala,,,,,,,,(in topology) homology,0,,,,,,,,4540
